draw,silhouette,k_selected,ortho_silhouette,sep_sil
246,0.1361054182,3,0.1468153745,0.0027758102
247,0.1178640872,2,0.1461780816,0.0020566795
248,0.1850000769,5,0.2173999846,-0.0071605169
249,0.2052314579,6,0.2102031112,-0.0002620393
250,0.2102456391,4,0.2561902106,0.0037616442
251,0.2224265635,5,0.2351925969,-0.0039683115
252,0.1556186378,5,0.1725698709,-0.0063469429
253,0.2826641202,3,0.2916762233,-0.0121444520
254,0.1658420414,4,0.2129461020,0.0006006937
255,0.1352118999,4,0.1577809900,0.0110853761
256,0.1599609554,5,0.1761395484,0.0024166694
257,0.2525911629,4,0.2404926866,-0.0080397809
258,0.1775917411,4,0.2154295743,-0.0042011631
259,0.1445440650,4,0.1476090997,0.0067890058
260,0.2743428349,4,0.3184306622,-0.0045651039
261,0.2370874137,5,0.2943009138,0.0008970203
262,0.1598374099,4,0.1591675133,-0.0068614599
263,0.1869512796,4,0.2078489959,0.0162639488
264,0.1700427830,4,0.1848637611,0.0226887073
265,0.1613629460,3,0.2055448145,-0.0015357559
266,0.1896270812,5,0.2013230175,0.0117128110
267,0.2581350803,5,0.2762364447,-0.0077536725
268,0.2000416815,5,0.1930463463,-0.0114958696
269,0.1589812040,5,0.1699667573,0.0017779217
270,0.1859094948,5,0.1788731068,-0.0010338236
271,0.2637498379,5,0.2853266895,0.0012866925
272,0.1337874830,5,0.1499300301,-0.0080174953
273,0.1505441666,5,0.1586588323,-0.0005150545
274,0.2185501456,4,0.2413819134,-0.0048972177
275,0.1936940998,5,0.1674234420,0.0076043466
276,0.2266402692,4,0.2534147799,0.0060991775
277,0.1433856189,5,0.1622985005,0.0037594561
278,0.1381289661,4,0.1448614597,-0.0117340069
279,0.2325772345,4,0.2751079500,-0.0056194859
280,0.1720297635,4,0.1967267990,0.0024544587
281,0.1598951817,5,0.1530697346,0.0101094078
282,0.1404142976,4,0.1679057926,-0.0074717011
283,0.1393609196,4,0.1629739255,-0.0053302431
284,0.1351979971,3,0.1482168734,0.0121131502
285,0.1708305776,5,0.1599377245,0.0014503772
286,0.1591787338,4,0.1715877950,-0.0085718082
287,0.1457418054,4,0.1593985260,-0.0027560617
288,0.1370289028,4,0.1403987110,-0.0032359650
289,0.1812695861,3,0.1883034855,-0.0128987832
290,0.1292829216,4,0.1705178767,0.0071811653
291,0.2127100676,4,0.2227820605,-0.0119922590
292,0.1324464679,3,0.1346957684,0.0023439261
293,0.2002269030,3,0.2273728102,0.0000343612
294,0.1285915673,2,0.1537842900,0.0047732773
295,0.1511367112,4,0.1568116248,-0.0120616090
296,0.1715695113,3,0.1849927455,-0.0053711310
297,0.1589147151,2,0.1987958550,-0.0061084982
298,0.1364858598,5,0.1546806395,0.0125366487
299,0.1446696669,5,0.1625217497,0.0087674046
300,0.2484981865,5,0.2727771699,-0.0062173363
301,0.1308257878,4,0.1462603807,0.0006236856
302,0.1237202883,4,0.1440755278,-0.0025408203
303,0.1386917681,4,0.1722335219,-0.0095951371
304,0.1310896724,5,0.1651833802,-0.0045221164
305,0.1795181036,2,0.2050150484,-0.0068890965
306,0.2045458853,5,0.2421211004,0.0098977517
307,0.1912859380,5,0.1723171920,-0.0053111888
308,0.1403713077,4,0.1594059765,0.0159544144
309,0.2411192209,3,0.2879772484,-0.0037349549
310,0.2353865057,5,0.2877739966,-0.0040514166
311,0.1489139944,5,0.1357531250,-0.0050134715
312,0.1348114312,2,0.1816585362,0.0025878383
313,0.2081708461,4,0.2528426647,-0.0025894030
314,0.1696900576,3,0.2173167020,0.0050055254
315,0.1973043084,5,0.1958547682,0.0232051052
316,0.2132726014,5,0.2514240742,0.0043128114
317,0.1718237251,5,0.2020766735,-0.0008657848
318,0.2200074643,5,0.2369880676,-0.0083207525
319,0.1357948035,5,0.1475926042,0.0013053919
320,0.1279067844,4,0.1318395436,0.0006773145
321,0.1285718679,4,0.1402906179,-0.0020594613
322,0.1663913876,4,0.1956371367,0.0083539160
323,0.1785202920,5,0.1668974310,0.0109416144
324,0.2297319025,3,0.3050529659,-0.0110274730
325,0.2397496700,5,0.2898706794,-0.0001292475
326,0.1382666975,3,0.1654887497,0.0118772965
327,0.1456406116,3,0.1642746478,0.0016863003
328,0.2061067522,4,0.2529041171,-0.0083421748
329,0.1965063065,5,0.2104007900,-0.0008487238
330,0.1605324298,5,0.2063878775,-0.0023243481
331,0.1659689397,4,0.1770980507,0.0023282839
332,0.1618376672,5,0.1471681595,-0.0070883590
333,0.1524167955,5,0.1706956625,-0.0062753698
334,0.1301870942,4,0.1582746357,0.0150961513
335,0.2499833703,4,0.3107007742,0.0027728030
336,0.1502686590,5,0.1450627148,-0.0015998656
337,0.1747146994,2,0.1927381754,0.0086951675
338,0.1381645948,5,0.1656012833,0.0002855704
339,0.1827000976,5,0.2264334708,-0.0035155772
340,0.1914106309,4,0.2245282531,-0.0073771840
341,0.1447036117,3,0.1485387385,-0.0119971829
342,0.1669345796,5,0.1562886834,0.0002622277
343,0.1439953744,5,0.1521075517,-0.0018190185
344,0.1704539508,5,0.1932301670,0.0025990410
345,0.1735525280,4,0.1826779246,0.0028764599
346,0.1954495311,4,0.2099593729,0.0096700136
347,0.2470726669,5,0.2358165979,0.0109859938
348,0.1267868280,4,0.1455072016,-0.0039463160
349,0.1435173452,5,0.1310190856,-0.0104078688
350,0.2755645812,5,0.3405995965,-0.0007159308
351,0.2278228402,4,0.2889474332,0.0141587220
352,0.1262867898,4,0.1443058401,-0.0039253864
353,0.1167367324,4,0.1200763360,-0.0030003290
354,0.2164329141,5,0.2336626947,-0.0084363874
355,0.1957746595,4,0.2266046852,0.0009218601
356,0.1375638992,5,0.1616997868,0.0001410865
357,0.1370519698,2,0.1566133648,-0.0079393135
358,0.1615888029,5,0.1769852936,0.0026127435
359,0.2716237605,4,0.2709403932,-0.0026671919
360,0.1489683688,5,0.1522627175,0.0070978054
361,0.2315875590,4,0.2628807127,0.0152918138
362,0.1365088075,4,0.1500227749,0.0010234974
363,0.1536321342,4,0.1757760346,0.0127638429
364,0.2236065269,5,0.2178975791,0.0075854161
365,0.1519939750,4,0.1649522334,0.0005730995
366,0.1487766802,5,0.1863051206,-0.0055961153
367,0.2429343462,5,0.2779819965,0.0053131641
368,0.1539599895,5,0.1381524950,-0.0028615089
369,0.2158714533,5,0.2296351790,-0.0086183650
370,0.1803898960,5,0.1833379567,-0.0040976163
371,0.1868971139,2,0.2005563229,0.0078778155
